codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7
120,18,2019-04-15,100.0,100.0,100.0,50.95,0.0,0.0,0.0
16,19,2019-10-07,9.8,0.0,0.0,0.0,0.0,0.0,0.0
16,19,2019-10-14,55.849999999999994,46.05,0.0,0.0,0.0,0.0,0.0
16,19,2019-10-21,99.28999999999999,55.849999999999994,9.8,0.0,0.0,0.0,0.0
16,19,2019-10-28,123.94999999999999,99.28999999999999,55.85,0.0,0.0,0.0,0.0
16,19,2019-11-04,131.53,123.95,99.29,0.0,0.0,0.0,0.0
16,19,2019-11-11,131.53,131.53,123.95,0.0,0.0,0.0,0.0
16,19,2019-11-18,131.53,131.53,131.53,0.0,0.0,0.0,0.0
16,19,2019-11-25,131.53,131.53,131.53,0.0,0.0,0.0,0.0
16,19,2019-12-02,131.53,131.53,131.53,55.85,0.0,0.0,0.0
16,19,2019-12-09,131.53,131.53,131.53,80.51,0.0,0.0,0.0
16,19,2019-12-16,131.53,131.53,131.53,131.53,9.8,0.0,0.0
16,19,2019-12-23,131.53,131.53,131.53,131.53,22.97,0.0,0.0
16,19,2019-12-30,131.53,131.53,131.53,131.53,123.95,0.0,0.0
16,19,2020-01-06,131.53,131.53,131.53,131.53,123.95,0.0,0.0
16,19,2020-01-13,131.53,131.53,131.53,131.53,123.95,0.0,0.0
16,19,2020-01-20,131.53,131.53,131.53,131.53,131.53,0.0,0.0
16,19,2020-01-27,131.53,131.53,131.53,131.53,131.53,9.8,0.0
16,19,2020-02-03,131.53,131.53,131.53,131.53,131.53,9.8,0.0
18,0,2010-04-09,4.57,0.0,0.0,0.0,0.0,0.0,0.0
18,0,2010-04-16,22.23,4.57,0.0,0.0,0.0,0.0,0.0
18,0,2010-04-23,68.81,22.23,4.57,0.0,0.0,0.0,0.0
18,0,2010-04-30,79.0,68.8,22.22,0.0,0.0,0.0,0.0
18,0,2010-05-07,95.44,95.44,79.0,0.0,0.0,0.0,0.0
18,0,2010-05-14,100.0,100.0,95.43,0.0,0.0,0.0,0.0
18,0,2010-05-21,100.0,100.0,100.0,0.0,0.0,0.0,0.0
18,0,2010-05-28,100.0,100.0,100.0,0.0,0.0,0.0,0.0
18,0,2010-06-04,100.0,100.0,100.0,0.0,0.0,0.0,0.0
18,0,2010-06-11,100.0,100.0,100.0,0.0,0.0,0.0,0.0
18,0,2010-06-17,100.0,100.0,100.0,4.57,0.0,0.0,0.0
18,0,2010-06-25,100.0,100.0,100.0,22.22,0.0,0.0,0.0
18,0,2010-07-02,100.0,100.0,100.0,77.02,0.0,0.0,0.0
18,0,2010-07-09,100.0,100.0,100.0,100.0,22.22,0.0,0.0
18,0,2010-07-16,100.0,100.0,100.0,100.0,22.22,2.13,0.0
18,0,2010-07-23,100.0,100.0,100.0,100.0,100.0,2.13,0.0
18,0,2010-07-30,100.0,100.0,100.0,100.0,100.0,22.22,0.91
18,2,2011-04-15,23.84,0.0,0.0,0.0,0.0,0.0,0.0
120,2,2011-04-15,97.01,97.01,97.01,0.0,0.0,0.0,0.0
18,2,2011-04-20,47.68,23.84,14.14,0.0,0.0,0.0,0.0
120,2,2011-04-20,97.01,97.01,97.01,7.28,0.0,0.0,0.0
18,2,2011-04-29,78.39,47.68,23.84,0.0,0.0,0.0,0.0
120,2,2011-04-29,100.0,100.0,100.0,22.23,0.0,0.0,0.0
18,2,2011-05-06,64.85000000000001,54.55,23.84,0.0,0.0,0.0,0.0
120,2,2011-05-06,100.0,100.0,100.0,32.2,7.28,0.0,0.0
