codcult,safra,datprev,e1,e2,e3,e4,e5,e6,e7,n7tmed,p7tmax,p7tmin,p7ur,p7nprec,p7sprec,p7tmed,n7tmax,n7tmin,n7ur,n7nprec,n7sprec,p14tmed,p14tmax,p14tmin,p14ur,p14nprec,p14sprec,n14tmed,n14tmax,n14tmin,n14ur,n14nprec,n14sprec,p28tmed,p28tmax,p28tmin,p28ur,p28nprec,p28sprec,n28tmed,n28tmax,n28tmin,n28ur,n28nprec,n28sprec
120,10,2015-04-06,100.0,100.0,87.34,0.0,0.0,0.0,0.0,24.68125,29.95,19.412499999999998,66.125,-14.285714285714286,39.8,24.10625,29.4875,18.725,62.65625,0.0,0.0,25.06,30.36,19.759999999999998,67.0,-14.285714285714286,59.3,24.499999999999996,29.42,19.58,69.48333333333333,0.0,20.599999999999998,25.07586206896552,30.444827586206895,19.706896551724142,70.04310344827586,-25.0,252.79999999999998,23.78793103448276,28.72413793103448,18.851724137931033,70.05172413793103,10.714285714285714,156.7
120,10,2015-04-13,100.0,100.0,100.0,1.01,0.0,0.0,0.0,24.10625,29.4875,18.725,62.65625,-0.0,0.0,25.05625,29.5625,20.55,74.625,0.0,20.6,24.51666666666667,29.90666666666667,19.126666666666665,63.95,-7.142857142857143,39.8,24.54666666666667,29.09333333333333,19.999999999999996,74.18333333333334,14.285714285714286,62.6,24.948275862068964,30.279310344827586,19.617241379310343,66.28448275862068,-10.714285714285714,80.0,22.862068965517246,27.52413793103448,18.199999999999996,73.22413793103448,14.285714285714286,187.89999999999998
120,10,2015-04-20,100.0,100.0,100.0,1.01,0.0,0.0,0.0,25.05625,29.5625,20.55,74.625,-0.0,20.6,24.31875,28.924999999999997,19.7125,73.875,28.571428571428573,42.0,24.499999999999996,29.42,19.58,69.48333333333333,-0.0,20.599999999999998,23.276666666666667,28.213333333333335,18.339999999999996,70.96666666666667,21.428571428571427,136.1,24.856896551724134,29.993103448275864,19.720689655172414,68.14655172413794,-7.142857142857143,79.89999999999999,21.76724137931035,26.306896551724137,17.227586206896554,73.3103448275862,14.285714285714286,167.4
16,11,2015-09-28,2.11,0.0,0.0,0.0,0.0,0.0,0.0,26.63125,32.3375,20.925,62.34375,-28.571428571428573,69.7,23.4625,28.775,18.15,77.6875,42.857142857142854,157.60000000000002,27.099999999999998,33.18,21.019999999999996,56.983333333333334,-14.285714285714286,70.6,23.45,28.426666666666662,18.473333333333333,77.65,42.857142857142854,327.3,24.363793103448277,29.96551724137931,18.76206896551724,62.73275862068966,-17.857142857142858,187.20000000000002,25.28103448275862,30.83448275862069,19.72758620689655,71.09482758620689,25.0,348.20000000000005
16,11,2015-10-05,2.88,2.11,0.0,0.0,0.0,0.0,0.0,23.4625,28.775,18.15,77.6875,-42.857142857142854,157.60000000000002,23.6875,28.4375,18.9375,76.09375,42.857142857142854,169.7,25.240000000000002,30.799999999999997,19.680000000000003,69.48333333333333,-28.571428571428573,206.3,25.36333333333334,30.89333333333333,19.83333333333333,69.0,21.428571428571427,179.1,24.236206896551725,29.655172413793103,18.817241379310342,67.35344827586206,-25.0,322.49999999999994,25.63103448275862,30.996551724137934,20.265517241379307,71.10344827586206,28.571428571428573,269.8
16,11,2015-10-12,26.0,2.88,2.11,0.0,0.0,0.0,0.0,23.6875,28.4375,18.9375,76.09375,-42.857142857142854,169.7,25.906250000000004,31.637499999999996,20.174999999999997,65.625,14.285714285714286,46.4,23.45,28.426666666666662,18.473333333333333,77.65,-42.857142857142854,327.3,26.51333333333334,32.33333333333333,20.69333333333333,66.38333333333334,14.285714285714286,57.9,25.382758620689657,30.93793103448276,19.827586206896548,66.94827586206897,-25.0,376.9,25.615517241379308,30.855172413793102,20.375862068965517,73.01724137931035,28.571428571428573,177.60000000000002
16,11,2015-10-19,61.88,46.46,26.0,0.0,0.0,0.0,0.0,25.906250000000004,31.637499999999996,20.174999999999997,65.625,-14.285714285714286,46.4,27.09375,33.2625,20.924999999999997,65.5,14.285714285714286,11.5,25.36333333333334,30.89333333333333,19.83333333333333,69.0,-21.428571428571427,179.1,25.943333333333335,31.313333333333336,20.57333333333333,72.01666666666667,35.714285714285715,90.69999999999999,25.29655172413793,30.831034482758618,19.76206896551724,69.37068965517241,-25.0,385.40000000000003,26.065517241379318,31.362068965517242,20.76896551724138,74.40517241379311,32.142857142857146,176.09999999999997
16,11,2015-10-26,81.22,64.38,48.96,0.0,0.0,0.0,0.0,27.09375,33.2625,20.924999999999997,65.5,-14.285714285714286,11.5,24.71875,29.262500000000003,20.175,79.71875,57.142857142857146,79.19999999999999,26.51333333333334,32.33333333333333,20.69333333333333,66.38333333333334,-14.285714285714286,57.9,24.7,29.353333333333335,20.04666666666667,80.21666666666667,42.857142857142854,119.69999999999999,25.28103448275862,30.83448275862069,19.72758620689655,71.09482758620689,-25.0,348.20000000000005,25.117241379310343,29.965517241379313,20.268965517241377,79.27586206896552,39.285714285714285,269.1
16,11,2015-11-02,94.37,81.22,64.38,0.0,0.0,0.0,0.0,24.71875,29.262500000000003,20.175,79.71875,-57.142857142857146,79.19999999999999,24.50625,29.174999999999997,19.8375,81.5625,42.857142857142854,71.9,25.943333333333335,31.313333333333336,20.57333333333333,72.01666666666667,-35.714285714285715,90.69999999999999,26.00333333333333,31.13333333333333,20.873333333333328,77.63333333333334,35.714285714285715,116.80000000000003,25.63103448275862,30.996551724137934,20.265517241379307,71.10344827586206,-28.571428571428573,269.8,24.650000000000002,29.148275862068967,20.151724137931033,81.53448275862068,42.857142857142854,356.4
16,11,2015-11-09,96.73,94.37,81.22,0.0,0.0,0.0,0.0,24.50625,29.174999999999997,19.8375,81.5625,-42.857142857142854,71.9,27.512500000000003,33.1875,21.837500000000002,72.96875,42.857142857142854,59.4,24.7,29.353333333333335,20.04666666666667,80.21666666666667,-42.857142857142854,119.69999999999999,25.600000000000005,30.706666666666663,20.493333333333332,77.83333333333333,42.857142857142854,163.9,25.615517241379308,30.855172413793102,20.375862068965517,73.01724137931035,-28.571428571428573,177.60000000000002,24.686206896551724,29.168965517241386,20.20344827586207,81.68103448275862,42.857142857142854,424.9
